Remove Pin=U13A-2 From Net=M_TILT_PH
Remove Pin=U13A-3 From Net=M_ZOOM_FAULT
Remove Pin=U13A-4 From Net=M_ZOOM_PH
Remove Pin=U13A-8 From Net=ADC_W
Remove Pin=U13A-9 From Net=ADC_C
Remove Pin=U13A-10 From Net=M_PAN_IPROPI
Remove Pin=U13A-11 From Net=M_TILT_IPROPI
Remove Pin=U13A-14 From Net=M_ZOOM_IPROPI
Remove Pin=U13A-54 From Net=M_PAN_FAULT
Remove Pin=U13A-55 From Net=M_PAN_PH
Remove Pin=U13A-56 From Net=PWM_W
Remove Pin=U13A-57 From Net=PWM_C
Remove Pin=U13A-58 From Net=M_PAN_EN
Remove Pin=U13A-59 From Net=M_TILT_EN
Remove Pin=U13A-61 From Net=M_ZOOM_EN
Remove Pin=U13A-62 From Net=M_TILT_FAULT
Change Component Designator: OldDesignator=* NewDesignator=*1
Change Component Designator: OldDesignator=C1 NewDesignator=C6
Change Component Designator: OldDesignator=C2 NewDesignator=C10
Change Component Designator: OldDesignator=C3 NewDesignator=C7
Change Component Designator: OldDesignator=C4 NewDesignator=C11
Change Component Designator: OldDesignator=C5 NewDesignator=C4
Change Component Designator: OldDesignator=C6 NewDesignator=C2
Change Component Designator: OldDesignator=C7 NewDesignator=C3
Change Component Designator: OldDesignator=C8 NewDesignator=C29
Change Component Designator: OldDesignator=C9 NewDesignator=C12
Change Component Designator: OldDesignator=C10 NewDesignator=C18
Change Component Designator: OldDesignator=C11 NewDesignator=C21
Change Component Designator: OldDesignator=C12 NewDesignator=C17
Change Component Designator: OldDesignator=C13 NewDesignator=C19
Change Component Designator: OldDesignator=C14 NewDesignator=C22
Change Component Designator: OldDesignator=C15 NewDesignator=C25
Change Component Designator: OldDesignator=C16 NewDesignator=C34
Change Component Designator: OldDesignator=C17 NewDesignator=C33
Change Component Designator: OldDesignator=C18 NewDesignator=C27
Change Component Designator: OldDesignator=C19 NewDesignator=C23
Change Component Designator: OldDesignator=C20 NewDesignator=C28
Change Component Designator: OldDesignator=C21 NewDesignator=C8
Change Component Designator: OldDesignator=C22 NewDesignator=C24
Change Component Designator: OldDesignator=C23 NewDesignator=C1
Change Component Designator: OldDesignator=C24 NewDesignator=C26
Change Component Designator: OldDesignator=C25 NewDesignator=C39
Change Component Designator: OldDesignator=C26 NewDesignator=C40
Change Component Designator: OldDesignator=C27 NewDesignator=C41
Change Component Designator: OldDesignator=C28 NewDesignator=C32
Change Component Designator: OldDesignator=C29 NewDesignator=C16
Change Component Designator: OldDesignator=C30 NewDesignator=C43
Change Component Designator: OldDesignator=C31 NewDesignator=C20
Change Component Designator: OldDesignator=C32 NewDesignator=C15
Change Component Designator: OldDesignator=C33 NewDesignator=C55
Change Component Designator: OldDesignator=C34 NewDesignator=C37
Change Component Designator: OldDesignator=C35 NewDesignator=C58
Change Component Designator: OldDesignator=C36 NewDesignator=C70
